,ECO_Code,Opening,Moves
0,A00,Anderssen’s Opening,1. a3
1,A00,"Polish Gambit, Anderssen’s Opening",1. a3 a5 2. b4
2,A00,Creepy Crawly Formation,1. a3 e5 2. h3 d5
3,A00,Andersspike,1. a3 g6 2. g4
4,A00,Ware; Meadow Hay; Crab,1. a4
5,A00,"Wing Gambit, Ware Opening",1. a4 b5
6,A00,"Cologne Gambit, Ware Opening",1. a4 b6 2. d4 d5 3. Nc3 Nd7
7,A00,Ware Gambit,1. a4 e5 2. a5 d5 3. e3 f5 4. a6
8,A00,Polish; Orangutan; Sokolsky; Hunt,1. b4
9,A00,"Birmingham Gambit, Polish",1. b4 c5
10,A00,"Outflank Variation, Polish",1. b4 c6
11,A00,"Schuhler Gambit, Polish",1. b4 c6 2. Bb2 a5 3. b5 cxb5 4. e4
12,A00,"Myers Variation, Polish",1. b4 d5 2. Bb2 c6 3. a4
13,A00,"Bugayev Attack, Polish",1. b4 e5 2. a3
14,A00,"Wolferts Gambit, Polish",1. b4 e5 2. Bb2 c5
15,A00,Schiffler-Sokolsky; Tartakower Gambit,1. b4 e5 2. Bb2 f6 3. e4 Bxb4
16,A00,"Brinckmann Variation, Polish",1. b4 e5 2. Bb2 f6 3. e4 Bxb4 4. Bc4 Nc6 5. f4 Qe7 6. f5 g6
17,A00,"Bucker Defense, Polish",1. b4 Na6
18,A00,"Grigorian Variation, Polish",1. b4 Nc6
19,A00,Polish Spike,1. b4 Nf6 2. Bb2 g6 3. g4
20,A00,"Karniewski; Tubingen Variation, Polish",1. b4 Nh6
21,A00,Saragossa; Hempel’s Opening,1. c3
22,A00,Hanham; Hayward,1. c3 e5 2. Qc2
23,A00,Mieses; Valencia; Venezuelan Opening,1. d3
24,A00,Venezolana,1. d3 c5 2. Nc3 Nc6 3. g3
25,A00,Reversed Rat,1. d3 e5
26,A00,Spike Deferred; Myers Spike Attack,1. d3 g6 2. g4
27,A00,Keoni-Hiva Gambit,1. e3 d5 2. Nc3 Nf6 3. a3 e5 4. f4 exf4 5. Nf3
28,A00,Van’t Kruijs Opening,1. e3 e5
29,A00,Bouncing Bishop Variation,1. e3 e5 2. Bc4 b5 3. Bb3
30,A00,Amsterdam Attack,1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6
31,A00,Ekolu Variation,1. e3 e5 2. Nc3 d5 3. f4 exf4 4. Nf3
32,A00,Alua Variation,1. e3 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3
33,A00,Akahi Variation,1. e3 e5 2. Nc3 Nf6 3. f4 exf4 4. Nf3
34,A00,Barnes; Gedult-Gunderam; Walkerling,1. f3
35,A00,King’s Head Opening,1. f3 e5 2. e4
36,A00,Hammerschlag; Pork Chop Opening,1. f3 e5 2. Kf2
37,A00,Benko; Barczay; Bilek; Hungarian,1. g3
38,A00,Gambit 59,1. g3 d5 2. Bg2 e5 3. b4
39,A00,Regan Variation,1. g3 d5 2. Bg2 e5 3. d4
40,A00,Reversed Alekhine,1. g3 e5 2. Nf3
41,A00,Lasker Simul Special,1. g3 h5
42,A00,Grob; Ahlhausen; Colibri; Fric; Genoa; Spike,1. g4
43,A00,Grob Gambit,1. g4 d5 2. Bg2 Bxg4
44,A00,"Romford Counter-Gambit, Grob",1. g4 d5 2. Bg2 Bxg4 3. c4 d4
45,A00,"Spike, Grob",1. g4 d5 2. Bg2 c6 3. g5
46,A00,"Short Spike, Grob",1. g4 d5 2. Bg2 c6 3. h3
47,A00,"Zilbermints Gambit, Grob",1. g4 d5 2. e4
48,A00,"Keene Defense, Grob",1. g4 d5 2. h3 e5
49,A00,"Hurst Attack, Grob",1. g4 e5 2. Bg2 d5 3. c4
50,A00,"Alessi Gambit, Grob",1. g4 f5
51,A00,Double Grob,1. g4 g5
52,A00,Spike Deferred,1. g4 g6 2. d3
53,A00,"Bucker Defense, Grob",1. g4 Nh6
54,A00,Clemenz Opening,1. h3
55,A00,Kadas Opening,1. h4
56,A00,Despres Opening,1. h4
57,A00,Koola-Koola,1. h4 a5
58,A00,Wulumulu,1. h4 e5 2. d4
59,A00,Durkin’s Opening; Sodium Attack,1. Na3
60,A00,Dunst; Heinrichsen; Will Bull; Kotrc,1. Nc3
61,A00,"St. George Defense, Dunst",1. Nc3 a6
62,A00,"Novosibirsk Variation, Dunst",1. Nc3 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qh4
63,A00,"Twyble Attack, Dunst",1. Nc3 c5 2. Rb1
64,A00,Dunst Gambit,1. Nc3 d5 2. e4 dxe4 3. d3
65,A00,"Pseudo-Diemer Gambit, Dunst",1. Nc3 d5 2. e4 dxe4 3. f3 exf3 4. Qxf3
66,A00,"Amazon, Dunst",1. Nc3 d5 2. e4 dxe4 3. Nxe4 Qd5
67,A00,Reversed Nimzovich,1. Nc3 e5
68,A00,"Battambang, Dunst",1. Nc3 e5 2. a3
69,A00,Irish Attack; Polish Attack,1. Nc3 e5 2. f4
70,A00,"Napoleon Attack, Dunst",1. Nc3 e5 2. Nf3
71,A00,"Glasscoe Gambit, Dunst",1. Nc3 f5 2. g4
72,A00,"Anti-Pirc Variation, Dunst",1. Nc3 g6 2. h4
73,A00,"Tubingen Gambit, Dunst",1. Nc3 Nf6 2. g4
74,A00,Amar; Paris Opening,1. Nh3
75,A00,Drunken Knight Opening,1. Nh3
76,A00,Krazy Kat,1. Nh3 e5 2. f3 d5 3. Nf2
77,A01,Larsen; Queen’s Fianchetto; Nimzo-Larsen Attack A01,1. b3
78,A01,"Symmetrical Variation, Larsen",1. b3 b6
79,A01,"English Variation, Larsen",1. b3 c5
80,A01,"Classical Variation, Larsen",1. b3 d5
81,A01,"Modern Variation, Larsen",1. b3 e5
82,A01,"Ringelbach Gambit, Larsen",1. b3 e5 2. Bb2 f5 3. e4
83,A01,"Paschmann Gambit, Larsen",1. b3 e5 2. Bb2 Nc6 3. f4
84,A01,"Dutch Variation, Larsen",1. b3 f5
85,A01,"Indian Variation, Larsen",1. b3 Nf6
86,A01,"Spike Variation, Larsen",1. b3 Nf6 2. Bb2 g6 3. g4
87,A10,English Opening; A10,1. c4
88,A10,"Halibut Gambit, English",1. c4 b5
89,A40,"Hartlaub Gambit, English",1. c4 b6 2. d4 Bb7 3. Nc3 e6 4. e4 f5 5. exf5 Nf6
90,A30,"Symmetrical Defense, English; A30",1. c4 c5
91,A30,"Wing Variation, English",1. c4 c5 2. b4
92,A34,"Normal Variation, Symmetrical English; A34",1. c4 c5 2. Nc3
93,A35,"Two Knights Variation, Symmetrical English; A35",1. c4 c5 2. Nc3 Nc6
94,A36,"Fianchetto Variation, Symmetrical English; A36",1. c4 c5 2. Nc3 Nc6 3. g3
95,A36,"Symmetrical Variation, Symmetrical English",1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7
96,A36,"Botvinnik System Reversed, Symmetrical English",1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. e3 e5
97,A36,"Botvinnik Variation, Symmetrical English",1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. e4
98,A37,"Two Knights Line, Symmetrical English; A37",1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3
99,A38,"Full Symmetry Line, Symmetrical English; A38",1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 Nf6
100,A38,"Double Fianchetto, Symmetrical English",1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 Nf6 6. O-O O-O 7. b3
101,A38,"Duchamp Variation, Symmetrical English",1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 Nf6 6. O-O O-O 7. d3
102,A39,"Mecking Variation, Symmetrical English; A39",1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 Nf6 6. O-O O-O 7. d4
103,A34,"Fianchetto Variation, Symmetrical English",1. c4 c5 2. Nc3 Nf6 3. g3
